nome_arquivo,setor_subpasta,coluna_camara,nivel_camara,posicao_rack,localizacao_formatada,codigo_produto,descricao_produto,categoria,quantidade_estoque,validade,status_observacao
Screenshot_20260822_164402_Dext Mobile SM Novo Atacarejo.jpg,Coluna 1 piso\Coluna 1 aéreo,1,Aéreo,Esquerda,congelado:C1-N2-E:misto,31841,FILEZINHO SASSAMI NATTO CONG BD IKG NAT. FILEZINHO DE PEITO (SASSAMI) FRESCO CORTES,aves,149.0,00/00/00,Pendente de atualização de data
Screenshot_20260825_103529_Calculator.jpg,Coluna 1 piso\Coluna 1 aéreo,1,Aéreo,Direita,congelado:C1-N2-D:misto,20754,COXA LQF SEARA 1 KG,aves,1.0,00/00/00,Pendente de atualização de data
Screenshot_20260825_103604_Calculator.jpg,Coluna 1 piso\Coluna 1 aéreo,1,Aéreo,Esquerda,congelado:C1-N2-E:misto,20749,FILEZINHO FGO LQF CONG SEARA PCTL KG,aves,736.0,00/00/00,Pendente de atualização de data
Screenshot_20260825_103750_Dext Mobile SM Novo Atacarejo.jpg,Coluna 1 piso\Coluna 1 aéreo,1,Aéreo,Direita,congelado:C1-N2-D:misto,23645,COXA SOB FGO CONG AURORA FW PACK KG,aves,664.0,00/00/00,Pendente de atualização de data
Screenshot_20260825_102816_Calculator.jpg,Coluna 1 piso,1,Piso,Esquerda,congelado:C1-N1-E:misto,19874,FGO INT CONG MAURICEA KG,aves,740.0,00/00/00,Pendente de atualização de data
Screenshot_20260825_102841_Calculator.jpg,Coluna 1 piso,1,Piso,Direita,congelado:C1-N1-D:misto,20249,PEITO FGO CONG MAURICEA BDL KG ARTES CONGELADOS DE FRANGO ÃKG,aves,24.0,00/00/00,Pendente de atualização de data
Screenshot_20260825_102914_Calculator.jpg,Coluna 1 piso,1,Piso,Esquerda,congelado:C1-N1-E:misto,20264,PEITO FGO CONG MAURICEA IND KG,aves,540.0,00/00/00,Pendente de atualização de data
20260822_103441.jpg,Coluna 10aéreo,10,Aéreo,Direita,congelado:C10-N2-D:misto,PEND-8,20260822_103441.JPG,aves,300.0,00/00/00,Pendente de atualização de data
20260822_103446.jpg,Coluna 10aéreo,10,Aéreo,Esquerda,congelado:C10-N2-E:misto,PEND-9,20260822_103446.JPG,aves,0.0,00/00/00,Pendente de atualização de data
20260822_103450.jpg,Coluna 10aéreo,10,Aéreo,Direita,congelado:C10-N2-D:misto,PEND-10,20260822_103450.JPG,aves,0.0,00/00/00,Pendente de atualização de data
20260822_103455.jpg,Coluna 10aéreo,10,Aéreo,Esquerda,congelado:C10-N2-E:misto,PEND-11,20260822_103455.JPG,aves,0.0,00/00/00,Pendente de atualização de data
Screenshot_20260824_111107_Calculator.jpg,Coluna 10aéreo\Coluna 10 Piso,10,Aéreo,Direita,congelado:C10-N2-D:misto,9955,LING FGO GRILL CONG NATTO 600G QJO NATTO (LT(LÇ,aves,396.0,00/00/00,Pendente de atualização de data
Screenshot_20260824_111143_Dext Mobile SM Novo Atacarejo.jpg,Coluna 10aéreo\Coluna 10 Piso,10,Aéreo,Esquerda,congelado:C10-N2-E:misto,9962,LING FGO GRILL CONG NATTO 600G PIM NATTO,aves,96.0,00/00/00,Pendente de atualização de data
